participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.name,session.config.participation_fee,session.config.real_world_currency_per_point,session.config.treatment,mrt.1.player.id_in_group,mrt.1.player.role,mrt.1.player.payoff,mrt.1.player.treatment,mrt.1.player.inform1,mrt.1.player.inform2,mrt.1.player.inform3,mrt.1.player.belief_comp1,mrt.1.player.belief_comp2,mrt.1.player.belief_comp3,mrt.1.player.prior_comp1,mrt.1.player.prior_comp2,mrt.1.player.prior_comp3,mrt.1.player.posterior_comp1,mrt.1.player.posterior_comp2,mrt.1.player.q_warm_up,mrt.1.player.q1,mrt.1.player.q2,mrt.1.player.q3,mrt.1.player.q4,mrt.1.player.q5,mrt.1.player.q6,mrt.1.player.q7,mrt.1.player.q8,mrt.1.player.q9,mrt.1.player.q10,mrt.1.player.q11,mrt.1.player.q12,mrt.1.player.q13,mrt.1.player.q14,mrt.1.player.q15,mrt.1.player.iq_score,mrt.1.player.rank,mrt.1.player.prior_1,mrt.1.player.prior_2,mrt.1.player.prior_3,mrt.1.player.prior_4,mrt.1.player.pair_id_in_session,mrt.1.player.pair_id_in_group,mrt.1.player.goodnews,mrt.1.player.posterior_1,mrt.1.player.posterior_2,mrt.1.player.posterior_3,mrt.1.player.posterior_4,mrt.1.player.time_pref_qual1,mrt.1.player.time_pref_qual2,mrt.1.player.risk_pref465,mrt.1.player.risk_pref450,mrt.1.player.risk_pref435,mrt.1.player.risk_pref420,mrt.1.player.risk_pref405,mrt.1.player.risk_pref390,mrt.1.player.risk_pref375,mrt.1.player.risk_pref360,mrt.1.player.risk_pref345,mrt.1.player.risk_pref330,mrt.1.player.risk_pref315,mrt.1.player.risk_pref300,mrt.1.player.risk_pref285,mrt.1.player.risk_pref270,mrt.1.player.risk_pref255,mrt.1.player.risk_pref240,mrt.1.player.risk_pref225,mrt.1.player.risk_pref210,mrt.1.player.risk_pref195,mrt.1.player.risk_pref180,mrt.1.player.risk_pref150,mrt.1.player.risk_pref165,mrt.1.player.risk_pref135,mrt.1.player.risk_pref120,mrt.1.player.risk_pref105,mrt.1.player.risk_pref90,mrt.1.player.risk_pref75,mrt.1.player.risk_pref60,mrt.1.player.risk_pref45,mrt.1.player.risk_pref30,mrt.1.player.risk_pref15,mrt.1.player.time_pref343,mrt.1.player.time_pref336,mrt.1.player.time_pref329,mrt.1.player.time_pref323,mrt.1.player.time_pref316,mrt.1.player.time_pref309,mrt.1.player.time_pref303,mrt.1.player.time_pref296,mrt.1.player.time_pref290,mrt.1.player.time_pref283,mrt.1.player.time_pref277,mrt.1.player.time_pref270,mrt.1.player.time_pref264,mrt.1.player.time_pref258,mrt.1.player.time_pref252,mrt.1.player.time_pref246,mrt.1.player.time_pref240,mrt.1.player.time_pref234,mrt.1.player.time_pref228,mrt.1.player.time_pref223,mrt.1.player.time_pref217,mrt.1.player.time_pref212,mrt.1.player.time_pref206,mrt.1.player.time_pref201,mrt.1.player.time_pref195,mrt.1.player.time_pref190,mrt.1.player.time_pref185,mrt.1.player.time_pref180,mrt.1.player.time_pref175,mrt.1.player.time_pref170,mrt.1.player.time_pref165,mrt.1.player.age,mrt.1.player.gender,mrt.1.player.field_of_study,mrt.1.player.sat_act,mrt.1.player.gpa,mrt.1.player.surveyIQ1,mrt.1.player.surveyIQ2,mrt.1.player.surveyIQ3,mrt.1.player.quiz_bonus,mrt.1.player.random_bonus,mrt.1.player.prior_estimation_bonus,mrt.1.player.posterior_estimation_bonus,mrt.1.player.completion_fee,mrt.1.player.final_compensation,mrt.1.group.id_in_subsession,mrt.1.subsession.round_number
6,fsu1yrjp,17,0,107,107,mrt,Finished,32:23.0,1,,,13,kzlsic69,,,,,0,T_10,0,1,10,1,,13,10,2,2,1,3,1,2,4,0,1,1,1,2,4,1,3,0,2,3,0,4,1,2,4,2,3,3,1,8,4,10,20,40,30,5,4,0,0,10,50,40,7,8,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,99,99,99,99,99,99,99,2,99,2,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,99,99,99,2,1,1,99,1,99,99,99,99,99,99,99,21,2,De-identified,De-identified,De-identified,1,2,1,1.6,0.7,1,0,10,13.3,1,1
7,5idus424,21,0,107,107,mrt,Finished,32:23.1,1,,,15,kzlsic69,,,,,0,T_10,0,1,10,2,,15,10,2,2,1,3,1,2,4,0,1,1,1,0,2,2,3,4,1,3,2,0,1,3,4,0,1,3,4,11,3,25,25,25,25,1,3,0,0,30,40,30,7,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,1,99,1,99,99,99,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,99,2,2,1,99,99,99,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,22,1,De-identified,De-identified,De-identified,0,7,6,2.2,0.65,1,1,10,14.85,1,1
8,o7twvfiy,6,0,107,107,mrt,Finished,32:23.2,1,,,13,kzlsic69,,,,,0,T_10,0,1,10,2,,13,10,2,2,1,3,1,2,4,0,1,1,1,0,2,2,0,0,0,2,1,3,1,1,3,3,1,4,1,3,4,0,15,35,50,2,3,0,0,15,35,50,4,6,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,99,99,99,99,99,99,99,2,2,1,99,1,99,99,99,99,99,99,99,99,99,99,2,99,99,99,2,99,2,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,18,2,De-identified,De-identified,De-identified,0,1,1,0.6,0.63,1,1,10,13.23,2,1
1,wbgx4n6c,7,0,107,107,mrt,Finished,31:36.7,1,,,13,2c3n91mw,,,,,0,T_10,0,1,10,3,,13,10,2,2,1,3,1,2,4,0,1,1,1,2,0,0,0,0,1,2,3,2,4,3,3,2,3,4,3,2,4,0,0,50,50,4,2,0,0,0,10,90,7,8,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,99,99,99,99,99,99,99,2,99,99,99,2,1,1,99,99,2,2,1,99,99,99,1,99,99,99,99,99,99,99,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,21,1,De-identified,De-identified,De-identified,0,3,3,0.4,0.72,1,1,10,13.12,1,1
2,uicvu56s,16,0,107,107,mrt,Finished,31:36.7,1,,,13,2c3n91mw,,,,,0,T_10,0,1,10,4,,13,10,2,2,1,3,1,2,4,0,1,1,1,0,0,1,3,2,1,3,0,0,1,2,4,2,4,4,4,7,2,10,20,50,20,3,1,0,0,20,60,20,7,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,99,99,99,99,99,99,99,2,2,1,99,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,99,99,99,99,99,99,99,2,1,1,99,1,99,99,99,20,1,De-identified,De-identified,De-identified,0,1,1,1.4,0.79,1,0,10,13.19,1,1
3,z7pwv6r4,12,0,107,107,mrt,Finished,31:36.8,1,,,14,2c3n91mw,,,,,0,T_10,0,1,10,1,,14,10,2,2,1,3,1,2,4,0,1,1,1,0,2,0,4,4,1,3,2,0,2,2,4,1,3,3,4,11,1,70,20,5,5,2,4,1,75,25,0,0,9,6,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,99,99,99,99,99,99,99,2,99,99,99,2,1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,99,99,99,99,99,99,99,2,99,99,99,2,1,1,99,19,1,De-identified,De-identified,De-identified,1,5,3,2.2,1,1,0,10,14.2,1,1
4,4myub8ar,24,0,107,107,mrt,Finished,31:36.8,1,,,11,2c3n91mw,,,,,0,T_10,0,1,10,2,,11,10,2,2,1,3,1,2,4,0,1,1,1,0,2,4,2,1,0,4,2,3,0,4,4,1,0,4,4,5,3,10,20,50,20,1,3,1,10,30,40,20,4,6,99,99,99,99,99,99,99,2,99,2,1,1,99,99,99,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,1,99,1,99,99,99,1,99,99,99,99,99,99,99,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,24,1,De-identified,De-identified,De-identified,1,3,2,1,0.1,0,0,10,11.1,1,1
5,sd5b17th,23,0,107,107,mrt,Finished,31:36.8,1,,,14,2c3n91mw,,,,,0,T_10,0,1,10,3,,14,10,2,2,1,3,1,2,4,0,1,1,1,0,4,1,3,4,1,3,2,3,2,2,4,1,3,3,4,11,2,25,40,25,10,7,2,1,50,30,20,0,7,10,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,1,99,1,99,99,99,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,99,99,99,99,99,99,99,2,99,2,2,1,99,99,99,19,1,De-identified,De-identified,De-identified,0,3,5,2.2,0.71,1,0,10,13.91,2,1
6,nh563nxa,11,0,107,107,mrt,Finished,31:36.8,1,,,15,2c3n91mw,,,,,0,T_10,0,1,10,4,,15,10,2,2,1,3,1,2,4,0,1,1,1,2,2,1,3,0,1,3,2,4,1,2,4,1,3,3,4,13,1,20,25,35,20,8,1,1,25,35,35,5,7,4,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,99,99,99,99,99,99,99,2,2,1,99,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,99,99,99,99,99,99,99,2,99,99,99,2,99,2,1,18,1,De-identified,De-identified,De-identified,0,5,6,2.6,0.26,1,1,10,14.86,2,1
7,fbvxbrdc,4,0,107,107,mrt,Finished,31:36.8,1,,,13,2c3n91mw,,,,,0,T_10,0,1,10,2,,13,10,2,2,1,3,1,2,4,0,1,1,1,2,2,2,4,4,1,3,2,1,4,2,4,1,3,3,3,11,3,15,40,40,5,5,3,0,0,40,55,5,7,9,99,99,99,2,99,1,99,1,99,99,99,99,99,99,99,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,99,99,99,99,99,99,99,2,2,1,99,1,99,99,99,18,2,De-identified,De-identified,De-identified,0,2,2,2.2,0.46,0,0,10,12.66,2,1
8,esi0s2ns,2,0,107,107,mrt,Finished,31:36.9,1,,,13,2c3n91mw,,,,,0,T_10,0,1,10,1,,13,10,2,2,1,3,1,2,4,0,1,1,1,2,4,1,2,2,1,3,2,4,2,3,4,1,3,3,1,8,4,12,66,11,11,6,4,0,10,70,10,10,5,5,99,99,99,99,99,99,99,2,99,2,2,1,99,99,99,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,1,99,1,99,99,99,1,99,99,99,99,99,99,99,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,18,2,De-identified,De-identified,De-identified,0,2,3,1.6,0.03,1,0,10,12.63,2,1
